Name,Nickname,Date,Message
Uladzimir Havenchyk,uladzimirdev,2024-05-01 01:33:46+00:00,Update codecov github action (#42034)
Nemanja Glumac,nemanjaglumac,2024-05-01 03:05:44+00:00,Remove unused endpoint reference from the `services.js` (#42040)
Alex Yarosh,alexyarosh,2024-05-01 04:07:10+00:00,note about default users (#42067)
Alex Yarosh,alexyarosh,2024-05-01 04:08:58+00:00,"[docs] Update the slack channel settings (#42071)

* update the option name

* Update docs/configuring-metabase/slack.md

Co-authored-by: Jeff Bruemmer <jeff.bruemmer@gmail.com>

---------

Co-authored-by: Jeff Bruemmer <jeff.bruemmer@gmail.com>"
Noah Moss,noahmoss,2024-05-01 04:24:24+00:00,Add docs link to perms email (#42004)
Cam Saul,camsaul,2024-05-01 07:49:34+00:00,Add kondo hook so LSP can jump to driver definition (#41856)
Cam Saul,camsaul,2024-05-01 10:24:17+00:00,"Fix Snowflake/Redshift filtering on date for timestamp with time zone columns (#41864)

* Fix Snowflake filtering on date for `timestamp with time zone` columns

* Snowflake should just generate raw SQL for literals

* Go ahead and fix other Snowflake stuff and reenable a bunch of disabled tests

* Snowflake test fixes :wrench:

* Minor test improvements

* Fix Redshift and Vertica as well.

* Address PR feedback"
Ngoc Khuat,qnkhuat,2024-05-01 14:34:17+00:00,Capture card's last_used_at (#41006)
lbrdnk,lbrdnk,2024-05-01 15:07:06+00:00,Add cancelation exception for vertica (#42047)
Romeo Van Snick,romeovs,2024-05-01 15:59:26+00:00,"Notebook text extraction shortcut (#41578)

* Add shortcuts to suggestions

* Add shortcuts group

* Add split icon

* Start implementing extract column modal

* Pass alwaysExpanded from prop to accordion items

* Allow disabling search on QueryColumnPicker

* Only render columns that support extraction

* Add columnExtractions helper to Lib

* WIP

* Add examples for column extraction

* Use Lib.columnExtractions to create extraction picker

* WIP: Create clause from extraction

* Use mb- prefix in color

* Add extract wrapper

* Use updated column extraction types

* WIP: extract clause

* Use JSDoc for todo

* Handle extract column submit in expression editor

* Set name based on extract expression

* Suffix column displayNames to avoid conflicts

* Rename combine test to disambiguate it from extract test

* Add e2e test for column extractions

* Correctly render button as button

* Add tests for email extractions

* Use correct font in expression button

* Remove error when selecting an extraction

* Use last expression

* Use handleExpressionChange

* Add tests for url extractions

* Rename to lastExpression

* Add issue link to the todo

* Move Button into ExtractColumn

* Use unstyled button for ExtractColumnButton"
Anton Kulyk,kulyk,2024-05-01 17:26:28+00:00,Fix flaky dashboard subscription test (#42051)
Anton Kulyk,kulyk,2024-05-01 17:35:23+00:00,Fix flaky dashboard repro tests (issue 39863) (#42046)
Braden Shepherdson,bshepherdson,2024-05-01 19:53:03+00:00,"[QP, lib] Allow multiple arguments to `:contains`, `:starts-with`, etc. (#41958)

These string matching clauses only allowed two arguments previously.
Typically `[:contains field x]` to match a field against a literal.

This adds similar desugaring for `:contains`, `:does-not-contain`,
`:starts-with` and `:ends-with` that is currently done for
multi-argument `:=` and `:!=`:

```clojure
[:contains field x y z] ;; ->
[:or [:contains field x] [:contains field y] [:contains field z]]

[:does-not-contain field x y z] ;; ->
[:and [:does-not-contain field x]
      [:does-not-contain field y]
      [:does-not-contain field z]]
```"
lbrdnk,lbrdnk,2024-05-01 22:14:00+00:00,"Add string like filtering capabilities to filter widget (#42065)

* Add string like filtering capabilities to filter widget

* Address the review suggestions

* Add e2e test

* Address review suggestions

* Update mongo e2e test id so it hopefully corresponds to CI data

* Update e2e test to use id gathered from actual data

* Expand and improve the E2E reproduction

* Explicitly reference the underlying issues we're reproducing

* Update frontend/src/metabase/querying/components/FilterPicker/FilterPickerBody/FilterPickerBody.tsx

Co-authored-by: Nemanja Glumac <31325167+nemanjaglumac@users.noreply.github.com>

* Fix parens

---------

Co-authored-by: Nemanja <31325167+nemanjaglumac@users.noreply.github.com>"
