Name,Nickname,Date,Message
Uladzimir Havenchyk,uladzimirdev,2024-05-31 16:58:12+00:00,"Optimize dashcard rendering in edit mode (#43431)

* Avoid unnecessary re-renderings in dashcards

* replace useCallback with useMemo

* Optimize dashcard rendering in edit mode"
Ryan Laurie,iethree,2024-05-31 16:30:58+00:00,"Add Advanced Cache Upsell (#43099)

* add hook to check token features

* add cache upsell to performance page

* upsell cards are white

* fix rebase"
Oisin Coveney,oisincoveney,2024-05-31 16:12:28+00:00,"fix(sdk): Add Static Dashboards to README (#43392)

* fix(sdk): add Static Dashboards to README

* Add more clarification comments for API

* Clarify dashboard ID type

* Prevent crashing SDK static dashboard if not provided optional values

* Document fallback behavior for `font`

---------

Co-authored-by: Mahatthana Nomsawadi <mahatthana.n@gmail.com>"
Uladzimir Havenchyk,uladzimirdev,2024-05-31 15:33:28+00:00,"Avoid unnecessary re-renderings in dashcards (#43323)

* Avoid unnecessary re-renderings in dashcards

* replace useCallback with useMemo"
Kamil Mielnik,kamilmielnik,2024-05-31 15:16:10+00:00,"Repro #37380 - Users with no self-service access may update pivot tables and leave them in a non-working state (#43437)

* Fix crash and remove redundant casting

* Add repro for metabase#37380

* Be extra-safe with an empty array"
Mahatthana (Kelvin) Nomsawadi,WiNloSt,2024-05-31 15:03:06+00:00,"ci(sdk): Autogenerate changelog on build (#43364)

* Auto tag embedding team for PR review + dry run npm publish

* Install changelog generation package

* Add the initial changelog

* feat(sdk): This is an empty commit. For testing purposes.

* Update SDk build script to include changelog

* Check if a tag exists

* Ensure changelog is in the released package

* Fix workflow

* Remove unnecessary step

* Ensure we can have access to release utils script when checking out master

* Fix the step to create a PR updating readme and changelog

* Fix changelog generation

* Fix couldn't download changelog

* Clean up steps"
Emmad Usmani,EmmadUsmani,2024-05-31 14:58:17+00:00,remove accidental comment from scatterplot model (#43423)
Nick Fitzpatrick,npfitz,2024-05-31 14:56:05+00:00,"React 18 (#41975)

* initial commit with most types sorted

* admin, binning, collections, custom-column and dashboard-cards suites

* Filters, Joins, Metrics, Models, Native and Native filters suites

* rest of e2e specs

* filters, actions, onboarding and custom column will hopfully be green?

* fixing static viz, brush filtering, login redirecting, and a few other tests

* types green

* linter green

* hopefully fixes filter tests

* I don't often cry, but when I do it's because of filter-types

* hopfully sorted the last test that's failing CI

* PR Feedback

* yarn prettier

* React 18 Upgrade - Unit Tests (#41577)

* fixes for most unit tests to work with react 18 + upgraded rtl to v15

* fixes all unit tests locally

* fixes from rebasing

* linter shames me

* fix flake in maps.cy.spec.js

---------

Co-authored-by: Sloan Sparger <sloansparger@users.noreply.github.com>
Co-authored-by: Sloan Sparger <sloansparger@gmail.com>"
Noah Moss,noahmoss,2024-05-31 14:50:01+00:00,Bump nippy to 3.4.2 (#43444)
Romeo Van Snick,romeovs,2024-05-31 14:49:21+00:00,"Show the columns for the correct stage when using combine/extract in the presence of an aggregation (#43226)

* Do not use asReturned to determine columns for extractions and combine columns

* Add reproduction for #43226 for combine columns

* Add reproduction for #43226 for extract columns

* Remove commented out code

* Only render extraction shortcut when there are extractions

* Only render combination shortcut when there are combinations

* Use hasCombinations from CombineColumns

* Add hasExtractions from ExtractColumn

* Use appendStageIfAggregated over Lib.asReturned

* Only show combine column shortcut when there are two or more columns to be combined

* Lift appendStageIfAggregated to top-level drill

* Add test for extraction on table with just breakout

* Add test for combinations on table with just breakouts

* Disable the 2-column requirement for combinations

* Remove Lib.asReturned in appendStageIfAggregated

* Remove + 1 to stageIndex in appendStageIfAggregated

* Check for empty breakouts too in as-returned

* Switch back to Lib.asReturned

* Fix test for combine column on breakouts

* Reference the correct query and stageIndex

* add CLJS unit tests for as-returned with only aggs, breakouts

---------

Co-authored-by: Braden Shepherdson <braden@metabase.com>"
Kamil Mielnik,kamilmielnik,2024-05-31 14:44:54+00:00,"Fix unit tests running multiple times in watch mode (#43445)

* Fix unit tests running multiple times in watch mode

* Ignore even more"
Oisin Coveney,oisincoveney,2024-05-31 14:11:17+00:00,#41973 Improvements + Convert PublicQuestion to TS (#43361)
Uladzimir Havenchyk,uladzimirdev,2024-05-31 13:50:48+00:00,Optimize imports from collection (#43241)
Alexander Polyankin,ranquild,2024-05-31 13:26:44+00:00,Move loading of linked targets metadata to the BE (#43380)
metamben,metamben,2024-05-31 11:45:22+00:00,"Support string operations on postgres UUIDs (#43417)

Fixes #40176."
Braden Shepherdson,bshepherdson,2024-05-31 11:43:19+00:00,"[QP] Drop last stage aggregations for questions in chain filtering (#43274)

Models are treated as opaque here, but for a saved question we expose
filters on the query before its final aggregation step.

This drops the aggregation clauses and gets the possible values for the
column of interest.

Fixes #43154."
Cam Saul,camsaul,2024-05-31 11:26:24+00:00,Rework Kondo `defendpoint` custom macro to be a custom hook instead (#43411)
Nicolò Pretto,npretto,2024-05-31 10:45:04+00:00,"PublicDashboard -> PublicOrEmbeddedDashboard (#43302)

* PublicDashboard -> PublicOrEmbeddedDashboard

* file renames and some fixes for PublicOrEmbeddedDashboard

* PublicQuestion -> PublicOrEmbeddedQuestion (file renames)

* PublicDashboard -> PublicOrEmbeddedDashboard

* isPublic prop -> isPublicOrEmbedded in Dashboard and Dashcard"
Mahatthana (Kelvin) Nomsawadi,WiNloSt,2024-05-31 09:04:44+00:00,Add SDK changelog (#43433)
Phoomparin Mano,heypoom,2024-05-31 05:55:07+00:00,"Update the SDK docs to point to v1.50.0-RC1 and add note on height customization (#43383)

* update jar and docker version in sdk readme

* add notes on customizing the component height"
metamben,metamben,2024-05-30 23:35:40+00:00,"Remove redundant field from select (#43396)

This is just removing a duplicate field from a select clause."
Sloan Sparger,sloansparger,2024-05-30 23:21:03+00:00,Improve haveDashboardCardsChanged util permformance (#43422)
adam-james,adam-james-v,2024-05-30 21:52:24+00:00,"Multiple Measures Requires Additional Header Row in Pivot Exports (#43322)

* Multiple Measures Requires Additional Header Row in Pivot Exports

Mulitple measures can be set in our pivots. We indicate these properly in the fronted with a header row that shows
which measure is reprsented in that particular column.

The header builder fn in the pivot export post processing didn't handle this case, but after this PR, it correctly
adds the final header when necessary.

* Fix up header tests

* Remove comment form; the tests are derived from that work already"
Aleksandr Lesnenko,alxnddr,2024-05-30 20:59:50+00:00,support stacked series values labels (#42803)
Braden Shepherdson,bshepherdson,2024-05-30 20:13:29+00:00,"[drivers] Enable `:regex` feature for MySQL (and MariaDB) (#43269)

These databases previously had impoverished support for regular
expressions. The `:regex` driver feature requires advanced,
""Perl-compatible"" regular expressions that can do things like lookahead
assertions.

- MySQL supports this from 8.0.4; we recommend 8.0.33+.
- MariaDB supports this from 10.0.5; we recommend 10.4+.

Fixes #43180."
Aleksandr Lesnenko,alxnddr,2024-05-30 20:04:32+00:00,"fix waterfall chart timezone issues, bar widths (#41671)"
Ryan Laurie,iethree,2024-05-30 19:50:30+00:00,Fix merge-conflicted e2e tests (#43404)
Romeo Van Snick,romeovs,2024-05-30 19:23:55+00:00,"Fix timeseries chrome overflow (#42761)

* Avoid overflowing dropdown menus

* Hide most bucket picker items behind a More... button

* Add test for More… button on TimeseriesBucketPicker

* Add color to More... button

* Add test for showing all columns when a lower bucket is picked"
metamben,metamben,2024-05-30 19:00:28+00:00,Move models.interface test to the right namespace (#43398)
Anton Kulyk,kulyk,2024-05-30 18:58:40+00:00,Fix duplicate filter panels in fullscreen dashboards (#43370)
Cam Saul,camsaul,2024-05-30 18:22:11+00:00,"Remove Google Analytics driver (#43352)

* Remove Google Analytics driver

* Remove more GA-related tests

* Un-remove tests that aren't related to GA"
Chris Truter,crisptrutski,2024-05-30 17:24:35+00:00,Update macaw for qualified rename support (#43195)
bryan,escherize,2024-05-30 17:05:30+00:00,"CRU card events will log recent-views, and get returned through the API (#43037)

* Handles card events for CRU (not D) => recent view

* add tests

* avoid some errors in dev

We expect recent-views/post-process to return nil occasionally (for
permissions reasons, or more), so let's filter those out instead of
printing a noisy unactionable warning

* uncomment and fix test

* fix some cypress tests + docs improvements

* update more cypress tests

* more cypress test updates

* adding a card puts it into your recents now

* fix notebook-data-source

* fix notebook-data-source

* fixing more e2e tests

* fix command palette e2e tests

* run prettier

* fix style issue

* update notebook-data-source tests

* update homepage e2e tests

* Next question is in recents, now

* update command palette: skip the first pagedown, since it is a noop

* check the buttons for their respective names

* ensure that the model is there, and no questions are"
Sloan Sparger,sloansparger,2024-05-30 16:53:51+00:00,"Prep unit tests for React 18 upgrade (#43375)

* pulls out test changes from react 18 / rtl 15 refactor that are comptable with react 17 / rtl 12

* impls pr feedback"
Anton Kulyk,kulyk,2024-05-30 16:11:59+00:00,"Keep a single null dimension value (#43246)

* Keep a single null dimension value

* Add Loki test

* Remove Loki test

* Throw an error if dataset is empty after filtering

* Extract error message into a constant"
